Jan 28 14:30:34.079 2026-01-28 09:00:34.079 | INFO     | __main__:run_bot:95 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - Stopping bot session with metadata: {"session_id": "fa0489e4-b49c-4bc0-a116-4953c784ea6d", "image_version": "0.1.12"}
Jan 28 14:30:34.079 2026-01-28 09:00:34.079 | DEBUG    | pipecat.pipeline.runner:run:95 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - Runner PipelineRunner#20 finished running PipelineTask#20
Jan 28 14:30:34.079 2026-01-28 09:00:34.079 | DEBUG    | pipecat.pipeline.task:run:500 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - Pipeline task PipelineTask#20 has finished
Jan 28 14:30:34.079 2026-01-28 09:00:34.079 | DEBUG    | pipecat.pipeline.task:run:495 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - Pipeline task PipelineTask#20 is finishing...
Jan 28 14:30:34.078 2026-01-28 09:00:34.078 | DEBUG    | pipecat.pipeline.task:wait_for_cancel:615 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - PipelineTask#20: CancelFrame#20(reason: None) reached the end of the pipeline.
Jan 28 14:30:34.078 2026-01-28 09:00:34.078 | INFO     | pipecat.transports.daily.transport:leave:856 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - Left https://cloud-0b8f2b6384c74ec0a65537adf577a710.daily.co/uuih0zfNVF3AdUlVuLqV
Jan 28 14:30:34.075 2026-01-28 09:00:34.075 | INFO     | pipecat.transports.daily.transport:leave:845 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - Leaving https://cloud-0b8f2b6384c74ec0a65537adf577a710.daily.co/uuih0zfNVF3AdUlVuLqV
Jan 28 14:30:34.073 2026-01-28 09:00:34.072 | DEBUG    | pipecat_murf_tts.tts:_disconnect_websocket:310 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - Disconnecting from Murf
Jan 28 14:30:33.571 2026-01-28 09:00:33.571 | DEBUG    | pipecat.services.deepgram.stt:_disconnect:247 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - Disconnecting from Deepgram
Jan 28 14:30:33.571 2026-01-28 09:00:33.570 | DEBUG    | pipecat.pipeline.task:_wait_for_pipeline_end:624 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - PipelineTask#20: Closing. Waiting for CancelFrame#20(reason: None) to reach the end of the pipeline...
Jan 28 14:30:33.570 2026-01-28 09:00:33.570 | DEBUG    | pipecat.pipeline.task:_cancel:530 | fa0489e4-b49c-4bc0-a116-4953c784ea6d - Cancelling pipeline task PipelineTask#20
